global_step,local_step,pkl_format,demo_scale_source,demo_pos_scale,demo_rot_scale,current_pos_scale,current_rot_scale,raw_action_min,raw_action_max,action_changed_by_safety,intervention_overrode_action,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_6_desc,prev_gripper_feedback,next_gripper_feedback,delta_gripper_feedback,prev_gripper_state,next_gripper_state,prev_hw_gripper_cmd_right,next_hw_gripper_cmd_right,prev_hw_gripper_cmd_left,next_hw_gripper_cmd_left,refresh_success,refresh_source,reward,done,truncated
0,0,legacy_list,manual,0.018,0.05,0.018,0.05,-0.35349446535110474,0.2621598541736603,False,False,-0.35349446535110474,-0.09276801347732544,-0.08570651710033417,-0.22543898224830627,0.2621598541736603,0.16410602629184723,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
1,1,legacy_list,manual,0.018,0.05,0.018,0.05,-0.010332300327718258,0.007607870735228062,False,False,-0.009765228256583214,0.007607870735228062,-0.010332300327718258,-0.0002659360761754215,0.0047898548655211926,-0.005403852090239525,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
2,2,legacy_list,manual,0.018,0.05,0.018,0.05,-0.030012596398591995,0.0158457662910223,False,False,-0.016325877979397774,0.015036927536129951,-0.030012596398591995,-0.011630939319729805,0.0158457662910223,-0.01137069333344698,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
3,3,legacy_list,manual,0.018,0.05,0.018,0.05,-0.03458993509411812,0.03876123204827309,False,False,0.03876123204827309,0.030792422592639923,0.008987884037196636,0.02149011939764023,-0.03458993509411812,-0.01740153320133686,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
4,4,legacy_list,manual,0.018,0.05,0.018,0.05,-0.012958215549588203,0.00902663916349411,False,False,-0.012958215549588203,0.0026623408775776625,-0.007104543037712574,-0.0012995501747354865,0.00902663916349411,-0.006006439682096243,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
5,5,legacy_list,manual,0.018,0.05,0.018,0.05,-0.02919468656182289,0.022728340700268745,False,False,-0.02919468656182289,0.0024984281044453382,-0.021664634346961975,-0.012229657731950283,0.022728340700268745,0.012241152115166187,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
6,6,legacy_list,manual,0.018,0.05,0.018,0.05,-0.00300360145047307,0.0032732884865254164,False,False,0.0032732884865254164,-0.0014189217472448945,0.0017094943905249238,0.00026709024677984416,-0.00300360145047307,-0.0030024598818272352,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
7,7,legacy_list,manual,0.018,0.05,0.018,0.05,-0.0032732884865254164,0.00300360145047307,False,False,-0.0032732884865254164,0.0014189217472448945,-0.0017094943905249238,-0.00026709024677984416,0.00300360145047307,0.0030024598818272352,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
8,8,legacy_list,manual,0.018,0.05,0.018,0.05,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
9,9,legacy_list,manual,0.018,0.05,0.018,0.05,-0.00300360145047307,0.0032732884865254164,False,False,0.0032732884865254164,-0.0014189217472448945,0.0017094943905249238,0.00026709024677984416,-0.00300360145047307,-0.0030024598818272352,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
10,10,legacy_list,manual,0.018,0.05,0.018,0.05,-0.0032732884865254164,0.00300360145047307,False,False,-0.0032732884865254164,0.0014189217472448945,-0.0017094943905249238,-0.00026709024677984416,0.00300360145047307,0.0030024598818272352,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
11,11,legacy_list,manual,0.018,0.05,0.018,0.05,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
12,12,legacy_list,manual,0.018,0.05,0.018,0.05,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
13,13,legacy_list,manual,0.018,0.05,0.018,0.05,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
14,14,legacy_list,manual,0.018,0.05,0.018,0.05,-0.00557344127446413,0.004419850185513496,False,False,0.004419850185513496,-0.0028262536507099867,0.0017094943905249238,-0.002885057358071208,-0.00557344127446413,-0.0017504093702882528,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
