i,global_step,source,reward,done,mask,grasp_penalty,action_absmax,action_saturation,gripper_action,gripper_label,action_dx,action_dy,action_dz,action_dr,action_dp,action_dyaw,action_dx_mm,action_dy_mm,action_dz_mm,action_dr_deg,action_dp_deg,action_dyaw_deg,saved_available,saved_dx,saved_dy,saved_dz,saved_dr,saved_dp,saved_dyaw,saved_dx_mm,saved_dy_mm,saved_dz_mm,saved_dr_deg,saved_dp_deg,saved_dyaw_deg,saved_minus_action_norm_absmax,saved_minus_action_norm_l2,saved_minus_action_pos_l2_mm,saved_minus_action_rot_l2_deg,live_available,live_dx,live_dy,live_dz,live_dr,live_dp,live_dyaw,live_dx_mm,live_dy_mm,live_dz_mm,live_dr_deg,live_dp_deg,live_dyaw_deg,live_minus_action_norm_absmax,live_minus_action_norm_l2,live_minus_action_pos_l2_mm,live_minus_action_rot_l2_deg,live_minus_saved_norm_absmax,live_minus_saved_norm_l2,live_minus_saved_pos_l2_mm,live_minus_saved_rot_l2_deg,saved_gripper_before,saved_gripper_after,live_gripper_before,live_gripper_after,env_mapped_hw,env_reason,env_feedback_before,env_mem_before,env_mem_after,critic_q_mean,critic_q_min,grasp_q_selected
0,0,actor,0.0,False,1.0,0.0,0.29997923970222473,False,0.0,hold(0),-0.001928758923895657,0.15193621814250946,-0.29997923970222473,-0.2425212562084198,0.13253441452980042,-0.1673986315727234,-0.038575176149606705,3.038724184036255,-5.999584674835205,-0.555817723274231,0.30374646186828613,-0.38364940881729126,True,-0.0008672475814819336,0.0014096498489379883,0.0,0.004383498337119818,0.0026976466178894043,-0.0013420089380815625,-0.017344951629638672,0.028192996978759766,0.0,0.010046238079667091,0.006182550918310881,-0.0030756578780710697,0.29997923970222473,0.46694889664649963,6.712583065032959,0.7440313696861267,True,0.0009246170520782471,-0.005570054054260254,-0.004366785287857056,-0.014960136264562607,0.002339391503483057,0.0017916818615049124,0.01849234104156494,-0.11140108108520508,-0.08733570575714111,-0.03428610414266586,0.0053614904172718525,0.004106232430785894,0.2956124544143677,0.4577808082103729,6.699345588684082,0.7151106595993042,0.019343635067343712,0.02133355103433132,0.1685180813074112,0.044917818158864975,82.98873901367188,82.76932525634766,80.8795166015625,80.8795166015625,,,,,,-0.3252190351486206,-0.6329339146614075,-0.3220268785953522
1,1,actor,0.0,False,1.0,-0.02,0.2738094627857208,False,-1.0,close(-1),0.156241774559021,0.05129442363977432,0.23474250733852386,-0.2738094627857208,0.2592960298061371,-0.24981197714805603,3.12483549118042,1.025888442993164,4.694849967956543,-0.6275250315666199,0.5942626595497131,-0.5725268125534058,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2738094627857208,0.5354986190795898,5.732247352600098,1.0366883277893066,True,0.05718916654586792,0.06674975156784058,-0.0849008560180664,-0.08801984786987305,-0.0581640861928463,-0.08667242527008057,1.1437833309173584,1.3349950313568115,-1.6980171203613281,-0.20172661542892456,-0.13330227136611938,-0.19863855838775635,0.31964337825775146,0.5235794186592102,6.699914932250977,0.9221971035003662,0.08801984786987305,0.18324014544487,2.4441182613372803,0.3129223585128784,82.76932525634766,17.79953384399414,80.8795166015625,80.34120178222656,,,,,,-0.4509783387184143,-0.736903965473175,1.3285537958145142
2,2,actor,0.0,False,1.0,0.0,0.29142045974731445,False,0.0,hold(0),0.06150128319859505,-0.09466332942247391,-0.28057095408439636,-0.22864434123039246,0.2722190022468567,-0.29142045974731445,1.2300256490707397,-1.8932665586471558,-5.611418724060059,-0.5240141749382019,0.6238799691200256,-0.6678864359855652,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29142045974731445,0.5502462387084961,6.048590183258057,1.0535128116607666,True,-0.07349103689193726,-0.08076578378677368,-0.1639336347579956,-0.25803062319755554,0.2867910861968994,-0.09388717263936996,-1.4698207378387451,-1.6153156757354736,-3.278672695159912,-0.5913625955581665,0.6572767496109009,-0.21517352759838104,0.1975332796573639,0.268543541431427,3.5788450241088867,0.4589118957519531,0.2867910861968994,0.44321778416633606,3.939455986022949,0.9099571704864502,17.79953384399414,17.79953384399414,80.34120178222656,77.86939239501953,,,,,,-0.08755044639110565,-0.15822604298591614,0.03517697751522064
3,3,actor,0.0,False,1.0,0.0,0.2843652069568634,False,0.0,hold(0),0.2559758126735687,-0.007316020783036947,-0.2843652069568634,-0.27562448382377625,0.16814173758029938,-0.11070739477872849,5.119515895843506,-0.1463204026222229,-5.6873040199279785,-0.6316847801208496,0.3853524625301361,-0.2537226676940918,True,0.05188211798667908,0.037217140197753906,-0.05665123462677002,-0.004706959705799818,-0.002034243196249008,-0.07589349150657654,1.0376423597335815,0.7443428039550781,-1.1330246925354004,-0.010787556879222393,-0.004662141669541597,-0.17393505573272705,0.27091753482818604,0.44616058468818665,6.180326461791992,0.7375572919845581,True,0.08460283279418945,-0.025919079780578613,-0.054279714822769165,-0.09907467663288116,-0.021934527903795242,-0.1187879741191864,1.692056655883789,-0.5183815956115723,-1.0855942964553833,-0.2270624190568924,-0.05027022957801819,-0.2722419500350952,0.23008549213409424,0.3873218595981598,5.749925136566162,0.5948355197906494,0.09436772018671036,0.127293661236763,1.4230180978775024,0.24190734326839447,17.79953384399414,17.79953384399414,77.86939239501953,72.5783920288086,,,,,,0.012132495641708374,-0.29608917236328125,0.11427649855613708
4,4,actor,0.0,False,1.0,0.0,0.28895342350006104,False,0.0,hold(0),0.08363737165927887,-0.11526354402303696,-0.28895342350006104,-0.16005007922649384,0.2782081961631775,-0.25718677043914795,1.6727473735809326,-2.3052709102630615,-5.779068470001221,-0.366807758808136,0.6376062035560608,-0.5894286036491394,True,0.03366246819496155,-0.03241449594497681,-0.13806894421577454,-0.1172608733177185,0.12298019230365753,-0.07859539985656738,0.673249363899231,-0.6482899188995361,-2.761378765106201,-0.2687421143054962,0.28184983134269714,-0.18012738227844238,0.17859137058258057,0.2999151647090912,3.5848336219787598,0.5510962009429932,True,0.1084737479686737,0.010898709297180176,-0.18176063895225525,-0.12065596133470535,0.12418016791343689,-0.055801670998334885,2.1694750785827637,0.21797418594360352,-3.6352128982543945,-0.27652308344841003,0.2845999598503113,-0.1278880089521408,0.20138509571552277,0.3063601553440094,3.3480772972106934,0.5880343914031982,0.07481127977371216,0.09957031160593033,1.9371862411499023,0.05288723111152649,17.79953384399414,17.79953384399414,72.5783920288086,64.5694580078125,,,,,,-0.03143448382616043,-0.03482528030872345,0.3345445692539215
5,5,actor,0.0,False,1.0,0.0,0.2978728115558624,False,0.0,hold(0),-0.2469472438097,0.018901247531175613,0.2978728115558624,-0.1565985381603241,-0.007568373344838619,-0.10608900338411331,-4.9389448165893555,0.3780249357223511,5.957456111907959,-0.3588973879814148,-0.017345434054732323,-0.24313807487487793,True,0.17933547496795654,-0.046133995056152344,-0.1259922981262207,-0.1407632678747177,0.019743796437978745,-0.05838615074753761,3.586709499359131,-0.9226799011230469,-2.519845962524414,-0.32260560989379883,0.04524944722652435,-0.13381119072437286,0.42628270387649536,0.6073552966117859,12.093108177185059,0.13110139966011047,True,0.11813119053840637,-0.0689774751663208,-0.06681233644485474,-0.07458826154470444,-0.02063112147152424,-0.13545148074626923,2.362623691558838,-1.379549503326416,-1.3362467288970947,-0.17094369232654572,-0.04728304594755173,-0.31043189764022827,0.3650784492492676,0.5308094620704651,10.469005584716797,0.20186954736709595,0.07706533372402191,0.14042218029499054,1.7629585266113281,0.25051644444465637,17.79953384399414,17.79953384399414,64.5694580078125,54.128875732421875,,,,,,-0.09040005505084991,-0.17071667313575745,0.22179707884788513
6,6,actor,0.0,False,1.0,0.0,0.2259545475244522,False,0.0,hold(0),-0.10992647707462311,-0.09046334773302078,0.16225764155387878,-0.15128839015960693,0.2259545475244522,-0.11990727484226227,-2.1985294818878174,-1.8092668056488037,3.245152711868286,-0.3467274010181427,0.5178496837615967,-0.2748072147369385,True,0.015894323587417603,-0.06032884120941162,0.011609494686126709,-0.08795030415058136,-0.033701248466968536,-0.12151072174310684,0.31788647174835205,-1.2065768241882324,0.23218989372253418,-0.20156724750995636,-0.077237568795681,-0.278482049703598,0.25965580344200134,0.33297035098075867,3.971590280532837,0.6125470399856567,True,-0.1935139298439026,-0.03118664026260376,-0.008087605237960815,-0.09266156703233719,0.16337738931179047,-0.06839323788881302,-3.8702785968780518,-0.6237328052520752,-0.1617521047592163,-0.21236465871334076,0.37443339824676514,-0.15674574673175812,0.1703452467918396,0.2225416749715805,3.9758317470550537,0.22925987839698792,0.2094082534313202,0.2945720851421356,4.2468366622924805,0.467913419008255,17.79953384399414,17.79953384399414,54.128875732421875,41.736244201660156,,,,,,-0.018519431352615356,-0.0317763090133667,-0.06939654052257538
7,7,actor,0.0,False,1.0,0.0,0.2951808571815491,False,0.0,hold(0),0.014342524111270905,0.09073668718338013,0.010631013661623001,-0.15035051107406616,0.2951808571815491,0.036523569375276566,0.2868504524230957,1.8147337436676025,0.21262027323246002,-0.34457793831825256,0.6765046715736389,0.0837058573961258,True,-0.18383711576461792,0.03586858510971069,0.05765408277511597,0.006751017179340124,0.09524548798799515,0.02387610636651516,-3.6767423152923584,0.7173717021942139,1.1530816555023193,0.015472191385924816,0.21828657388687134,0.05472000315785408,0.19993537664413452,0.33062341809272766,4.218854904174805,0.583472490310669,True,0.0072605907917022705,-0.04517585039138794,0.05490109324455261,-0.13192956149578094,0.028393909335136414,-0.01687346212565899,0.1452118158340454,-0.9035170078277588,1.0980218648910522,-0.30236026644706726,0.06507404893636703,-0.03867112472653389,0.26678693294525146,0.30797410011291504,2.862321615219116,0.6249845623970032,0.1910977065563202,0.26164111495018005,4.151824474334717,0.3649841845035553,17.79953384399414,17.79953384399414,41.736244201660156,31.053129196166992,,,,,,-0.15362326800823212,-0.5732742547988892,0.30331942439079285
8,8,actor,0.0,False,1.0,0.0,0.26132047176361084,False,0.0,hold(0),0.10817302763462067,0.23549999296665192,-0.26132047176361084,-0.21324019134044647,-0.03155406191945076,-0.13492530584335327,2.1634604930877686,4.7099995613098145,-5.226409435272217,-0.48871049284935,-0.07231657952070236,-0.30922600626945496,True,0.11107400059700012,0.04077255725860596,-0.02946704626083374,0.01386348158121109,0.007743319496512413,-0.012776589021086693,2.221479892730713,0.8154511451721191,-0.5893409252166748,0.031772758811712265,0.01774637959897518,-0.02928178384900093,0.2318534255027771,0.39965468645095825,6.05584716796875,0.5978150963783264,True,0.04543140530586243,0.049592554569244385,-0.06119236350059509,-0.020098019391298294,0.07069065421819687,0.016971157863736153,0.9086281061172485,0.9918510913848877,-1.2238472700119019,-0.04606126248836517,0.1620110422372818,0.038895029574632645,0.20012810826301575,0.38649681210517883,5.605330944061279,0.6099475622177124,0.0656425952911377,0.10674229264259338,1.4687734842300415,0.17753452062606812,17.79953384399414,17.79953384399414,31.053129196166992,23.36787986755371,,,,,,-0.040192097425460815,-0.42743074893951416,0.2852551341056824
9,9,actor,0.0,False,1.0,0.0,0.2977142632007599,False,0.0,hold(0),0.22310452163219452,-0.12163180857896805,0.2977142632007599,-0.1738927662372589,0.28566089272499084,-0.09906035661697388,4.462090492248535,-2.432636260986328,5.954285144805908,-0.39853283762931824,0.6546865105628967,-0.22702962160110474,True,0.03374740481376648,0.061127543449401855,-0.15539824962615967,-0.11519528180360794,0.03743496164679527,-0.028326531872153282,0.6749480962753296,1.222550868988037,-3.1079649925231934,-0.26400813460350037,0.0857946127653122,-0.06491962820291519,0.45311251282691956,0.5870543718338013,10.47984790802002,0.6066420078277588,True,0.005914270877838135,0.16718804836273193,-0.16017258167266846,-0.045222096145153046,0.02003360539674759,-0.08533516526222229,0.1182854175567627,3.3437609672546387,-3.203451633453369,-0.10364141315221786,0.045913636684417725,-0.19557377696037292,0.45788684487342834,0.6538740396499634,11.666171073913574,0.6771668195724487,0.10606050491333008,0.14316195249557495,2.19511342048645,0.21066200733184814,17.79953384399414,17.79953384399414,23.36787986755371,18.27928924560547,,,,,,-0.14000321924686432,-0.2605333924293518,-0.06157183647155762
