episode_local_step,global_step,had_intervene_action,action_source,reward,done,mask,grasp_penalty,a0,a1,a2,a3,a4,a5,a6,gripper_label,pos_dx_mm,pos_dy_mm,pos_dz_mm,rot_droll_deg,rot_dpitch_deg,rot_dyaw_deg,policy_a6,stored_before_a6,raw_intervene_a6,obs_gripper_feedback,next_obs_gripper_feedback,env_raw_action6,env_mapped_hw,env_feedback_before,env_feedback_after,env_mem_before,env_mem_after,env_map_reason,critic_q_mean,critic_q_min,critic_q_max,critic_qs,grasp_q_selected,grasp_qs
0,17200,False,policy,0.0,False,1.0,0.0,-0.2568262219429016,-0.26093295216560364,-0.28179770708084106,0.2529155910015106,-0.1402639001607895,-0.27782320976257324,0.0,hold(0),-5.136524438858032,-5.218659043312073,-5.635954141616821,0.5796398374977384,-0.3214611798903035,-0.6367238948069287,-1.0,-1.0,,82.24047088623047,81.9736328125,-1.0,10.0,82.24047088623047,,,,close_event_to_close_cmd,1.1755836009979248,1.1755152940750122,1.1756517887115479,"[1.1756517887115479, 1.1755152940750122]",-0.03028370440006256,"[-0.029042094945907593, -0.03028370440006256, -0.06409777700901031]"
1,17201,False,policy,0.0,False,1.0,0.0,-0.2629961371421814,-0.2869167923927307,-0.2877614498138428,0.2320256382226944,-0.2127486765384674,-0.2893633246421814,0.0,hold(0),-5.259922742843628,-5.738335847854614,-5.7552289962768555,0.5317635923595881,-0.48758405050592396,-0.6631718899148356,-1.0,-1.0,,81.9736328125,79.4206771850586,-1.0,10.0,81.9736328125,,,,close_event_to_close_cmd,1.1788382530212402,1.1782985925674438,1.1793780326843262,"[1.1782985925674438, 1.1793780326843262]",-0.028582995757460594,"[-0.028197050094604492, -0.028582995757460594, -0.06347202509641647]"
2,17202,False,policy,0.0,False,1.0,0.0,-0.17931479215621948,-0.29183289408683777,-0.2372567504644394,0.17102833092212677,-0.15461088716983795,-0.29919353127479553,0.0,hold(0),-3.5862958431243896,-5.836657881736755,-4.745135009288788,0.3919680615601862,-0.3543420520642034,-0.6857010639864474,0.0,0.0,,79.4206771850586,75.32855224609375,0.0,10.0,79.4206771850586,,,,hold_to_memory_or_latch,1.1741353273391724,1.1732277870178223,1.1750428676605225,"[1.1750428676605225, 1.1732277870178223]",-0.027899542823433876,"[-0.0279209166765213, -0.027899542823433876, -0.06299090385437012]"
3,17203,False,policy,0.0,False,1.0,0.0,-0.26143816113471985,-0.1546856164932251,-0.28847914934158325,0.2440786212682724,-0.21844245493412018,-0.2969798147678375,0.0,hold(0),-5.228763222694397,-3.0937123298645024,-5.769582986831666,0.5593869947217625,-0.5006332293680709,-0.6806275994709619,0.0,0.0,,75.32855224609375,68.90807342529297,0.0,10.0,75.32855224609375,,,,hold_to_memory_or_latch,1.1811226606369019,1.1804921627044678,1.181753158569336,"[1.1804921627044678, 1.181753158569336]",-0.022937078028917313,"[-0.026926562190055847, -0.022937078028917313, -0.06126318499445915]"
4,17204,False,policy,0.0,False,1.0,0.0,-0.11158733069896698,-0.21732977032661438,-0.2899506986141205,0.2930509150028229,-0.2448418140411377,-0.2894056737422943,0.0,hold(0),-2.2317466139793396,-4.346595406532288,-5.79901397228241,0.6716232244843507,-0.5611361037153652,-0.6632689469029414,0.0,0.0,,68.90807342529297,61.426124572753906,0.0,10.0,68.90807342529297,,,,hold_to_memory_or_latch,1.1798549890518188,1.1792774200439453,1.1804325580596924,"[1.1792774200439453, 1.1804325580596924]",-0.02050594799220562,"[-0.024513572454452515, -0.02050594799220562, -0.05885683372616768]"
5,17205,False,policy,0.0,False,1.0,0.0,-0.22886894643306732,-0.2665415406227112,-0.19228070974349976,0.11863403767347336,-0.24372953176498413,-0.28653281927108765,0.0,hold(0),-4.577378928661346,-5.330830812454224,-3.8456141948699956,0.27188918661144124,-0.5585869405133329,-0.6566848494487242,0.0,0.0,,61.426124572753906,53.24563217163086,0.0,10.0,61.426124572753906,,,,hold_to_memory_or_latch,1.1656718254089355,1.1647953987121582,1.1665481328964233,"[1.1665481328964233, 1.1647953987121582]",-0.01715443842113018,"[-0.023705095052719116, -0.01715443842113018, -0.062490176409482956]"
6,17206,False,policy,0.0,False,1.0,0.0,-0.25945785641670227,0.01828160509467125,-0.2856137156486511,0.268119215965271,-0.23840640485286713,-0.2041933387517929,0.0,hold(0),-5.189157128334045,0.365632101893425,-5.7122743129730225,0.6144839792466668,-0.5463872322782606,-0.4679766606065142,0.0,0.0,,53.24563217163086,42.60608673095703,0.0,10.0,53.24563217163086,,,,hold_to_memory_or_latch,1.176483154296875,1.176272988319397,1.1766932010650635,"[1.176272988319397, 1.1766932010650635]",-0.00862669013440609,"[-0.019361361861228943, -0.00862669013440609, -0.054166704416275024]"
7,17207,False,policy,0.0,False,1.0,0.0,-0.1767175942659378,-0.2016332447528839,-0.24560043215751648,0.2796976566314697,-0.12162210792303085,-0.17666037380695343,0.0,hold(0),-3.534351885318756,-4.032664895057678,-4.91200864315033,0.6410198105873,-0.27873733917897114,-0.40487575305367635,0.0,0.0,,42.60608673095703,33.15400314331055,0.0,10.0,42.60608673095703,,,,hold_to_memory_or_latch,1.1739776134490967,1.1737794876098633,1.1741756200790405,"[1.1741756200790405, 1.1737794876098633]",-0.0029333699494600296,"[-0.016512304544448853, -0.0029333699494600296, -0.05640874430537224]"
8,17208,False,policy,0.0,False,1.0,-0.02,-0.29123643040657043,-0.11087191849946976,-0.21509703993797302,0.29823678731918335,0.1679559350013733,-0.2571652829647064,-1.0,close(-1),-5.824728608131409,-2.217438369989395,-4.3019407987594604,0.6835083683571982,0.3849266487900908,-0.5893794140466099,0.0,0.0,,33.15400314331055,25.933631896972656,0.0,10.0,33.15400314331055,,,,hold_to_memory_or_latch,1.1775085926055908,1.1750024557113647,1.1800148487091064,"[1.1800148487091064, 1.1750024557113647]",-0.011687293648719788,"[-0.011687293648719788, 0.004886070266366005, -0.05376226082444191]"
9,17209,False,policy,0.0,False,1.0,0.0,-0.2161274254322052,-0.10676185041666031,-0.29001420736312866,0.28154119849205017,0.28167274594306946,-0.27802637219429016,0.0,hold(0),-4.322548508644104,-2.1352370083332066,-5.800284147262573,0.6452448973059781,0.6455463818559424,-0.6371895088026485,0.0,0.0,,25.933631896972656,21.040565490722656,0.0,10.0,25.933631896972656,,,,hold_to_memory_or_latch,1.1718343496322632,1.1714727878570557,1.1721959114074707,"[1.1721959114074707, 1.1714727878570557]",-0.001934019848704338,"[-0.013289883732795715, -0.001934019848704338, -0.05328277498483658]"
