episode_local_step,global_step,had_intervene_action,action_source,reward,done,mask,grasp_penalty,a0,a1,a2,a3,a4,a5,a6,gripper_label,pos_dx_mm,pos_dy_mm,pos_dz_mm,rot_droll_deg,rot_dpitch_deg,rot_dyaw_deg,policy_a6,stored_before_a6,raw_intervene_a6,obs_gripper_feedback,next_obs_gripper_feedback,env_raw_action6,env_mapped_hw,env_feedback_before,env_feedback_after,env_mem_before,env_mem_after,env_map_reason,critic_q_mean,critic_q_min,critic_q_max,critic_qs,grasp_q_selected,grasp_qs
0,3692,False,policy,0.0,False,1.0,0.0,0.2566075325012207,0.1392224133014679,-0.24820949137210846,-0.259566992521286,0.2653042674064636,-0.2863224148750305,0.0,hold(0),5.132150650024414,2.784448266029358,-4.964189827442169,-0.5948837268949396,0.6080325923680229,-0.6562026380933212,0.0,0.0,,82.72691345214844,82.72691345214844,0.0,80.0,82.72691345214844,,,,hold_to_memory_or_latch,0.89749675989151,0.8967995643615723,0.8981939554214478,"[0.8981939554214478, 0.8967995643615723]",0.1780368983745575,"[0.10418043285608292, 0.1780368983745575, 0.11520034074783325]"
1,3693,False,policy,0.0,False,1.0,0.0,0.29002055525779724,0.20316414535045624,0.01469674427062273,-0.24625219404697418,0.26011642813682556,0.19378148019313812,0.0,hold(0),5.800411105155945,4.063282907009125,0.2939348854124546,-0.5643684565891279,0.5961429405703231,0.44411443851459087,0.0,0.0,,82.72691345214844,82.72691345214844,0.0,80.0,82.72691345214844,,,,hold_to_memory_or_latch,0.8931748867034912,0.8877256512641907,0.898624062538147,"[0.8877256512641907, 0.898624062538147]",0.18300336599349976,"[0.11321202665567398, 0.18300336599349976, 0.15062366425991058]"
2,3694,False,policy,0.0,False,1.0,0.0,0.2412761151790619,0.19343622028827667,-0.07524649798870087,-0.2549137473106384,0.25805574655532837,-0.18173646926879883,0.0,hold(0),4.825522303581238,3.8687244057655334,-1.5049299597740173,-0.5842192744305569,0.5914202062687178,-0.41650930690844634,0.0,0.0,,82.72691345214844,82.74104309082031,0.0,80.0,82.72691345214844,,,,hold_to_memory_or_latch,0.8840053081512451,0.8823444843292236,0.8856660723686218,"[0.8823444843292236, 0.8856660723686218]",0.18141774833202362,"[0.10007105022668839, 0.18141774833202362, 0.15616720914840698]"
3,3695,False,policy,0.0,False,1.0,0.0,0.29291826486587524,0.2855004370212555,0.17569297552108765,-0.1796770542860031,0.24972616136074066,-0.23239006102085114,0.0,hold(0),5.858365297317505,5.71000874042511,3.513859510421753,-0.41178947543723826,0.5723302031989367,-0.5325987878912973,0.0,0.0,,82.74104309082031,82.72691345214844,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,0.8857213258743286,0.8831339478492737,0.8883087635040283,"[0.8831339478492737, 0.8883087635040283]",0.1813652366399765,"[0.07881570607423782, 0.1813652366399765, 0.15894021093845367]"
4,3696,False,policy,0.0,False,1.0,0.0,0.28251397609710693,0.0548836812376976,-0.21096308529376984,-0.13721318542957306,0.2636226713657379,-0.2805716395378113,0.0,hold(0),5.650279521942139,1.097673624753952,-4.219261705875397,-0.3144694567464199,0.6041786581288432,-0.6430228318632979,0.0,0.0,,82.72691345214844,82.74104309082031,0.0,80.0,82.72691345214844,,,,hold_to_memory_or_latch,0.893446147441864,0.8903771638870239,0.8965151309967041,"[0.8903771638870239, 0.8965151309967041]",0.17956571280956268,"[0.10846460610628128, 0.17956571280956268, 0.1532636135816574]"
5,3697,False,policy,0.0,False,1.0,0.0,0.297337144613266,0.2728049159049988,-0.030073758214712143,-0.25933241844177246,0.280353307723999,-0.066631980240345,0.0,hold(0),5.946742892265321,5.456098318099976,-0.6014751642942429,-0.594346122705368,0.6425224522047027,-0.15270924993483465,0.0,0.0,,82.74104309082031,82.74104309082031,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,0.8854496479034424,0.8813347816467285,0.8895645141601562,"[0.8813347816467285, 0.8895645141601562]",0.1762743890285492,"[0.08255869895219803, 0.1762743890285492, 0.1538010686635971]"
6,3698,False,policy,0.0,False,1.0,0.0,0.2588581144809723,0.29627886414527893,0.22192074358463287,-0.27049505710601807,0.20729267597198486,0.29399096965789795,0.0,hold(0),5.177162289619446,5.925577282905579,4.4384148716926575,-0.6199290060530009,0.47507981828670653,0.6737776710542478,0.0,0.0,,82.74104309082031,82.74104309082031,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,0.9352090358734131,0.9334962964057922,0.9369217157363892,"[0.9334962964057922, 0.9369217157363892]",0.17506057024002075,"[0.09033576399087906, 0.17506057024002075, 0.09923449158668518]"
7,3699,False,policy,0.0,False,1.0,0.0,0.27712929248809814,0.26656031608581543,0.039674196392297745,-0.2547752261161804,0.24576829373836517,0.12153217941522598,0.0,hold(0),5.542585849761963,5.331206321716309,0.7934839278459549,-0.5839018072379347,0.5632594387735929,0.27853123822076603,0.0,0.0,,82.74104309082031,82.74104309082031,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,0.9415473937988281,0.9385825395584106,0.9445121884346008,"[0.9385825395584106, 0.9445121884346008]",0.17649438977241516,"[0.12894020974636078, 0.17649438977241516, 0.11683668941259384]"
8,3700,False,policy,0.0,False,1.0,0.0,0.29445362091064453,0.2463478147983551,-0.15388020873069763,-0.2975928783416748,0.07559923827648163,-0.20865952968597412,0.0,hold(0),5.889072418212891,4.926956295967102,-3.077604174613953,-0.6820326376851252,0.17326069150585058,-0.4782124162476412,0.0,0.0,,82.74104309082031,82.72691345214844,0.0,80.0,82.74104309082031,,,,hold_to_memory_or_latch,0.9310725331306458,0.9305144548416138,0.9316306114196777,"[0.9305144548416138, 0.9316306114196777]",0.17531579732894897,"[0.06769037991762161, 0.17531579732894897, 0.08512718230485916]"
9,3701,False,policy,0.0,False,1.0,0.0,0.298266738653183,-0.060069140046834946,-0.21091385185718536,-0.2783833146095276,0.2981007695198059,-0.26134246587753296,0.0,hold(0),5.96533477306366,-1.201382800936699,-4.218277037143707,-0.6380075605595409,0.6831966385234789,-0.5989528120929747,0.0,0.0,,82.72691345214844,82.74104309082031,0.0,80.0,82.72691345214844,,,,hold_to_memory_or_latch,0.989235520362854,0.9816269874572754,0.9968440532684326,"[0.9816269874572754, 0.9968440532684326]",0.17855553328990936,"[0.08488339930772781, 0.17855553328990936, 0.10787313431501389]"
